COUNT	608
data_finance.dwd_finance_revoke_shop_sku_waste_cost_da	table
data_finance.dwd_finance_ripple_order_form_da_v1	table
data_finance.dwd_finance_ripple_order_main_da_v1	table
data_finance.dwd_finance_ripple_order_task_da_v1	table
data_finance.dwd_finance_ripple_order_task_form_da_v1	table
data_finance.dwd_finance_shop_detail_da	table
data_finance.dwd_finance_shop_revoke_sku_inventory_da_v1	table
data_finance.dwd_finance_shop_type_config_amount_detail_v1	table
data_finance.dwd_finance_store_current_month_detail_v1	table
data_finance.dwd_finance_store_month_count_v1	table
data_finance.dwd_finance_store_month_predict_v1	table
data_finance.dwd_finance_store_week_count_v1	table
data_finance.dwd_finance_tax_company_match_summary_da	table
data_finance.dwd_finance_tripartite_price_comparison_investment_risk_control_view	view
data_finance.dwd_finance_voucher_systematic_push_detail_view	view
data_finance.dwd_pdw_s4d_saphanadb_acdoca_di_view	view
data_finance.dwd_pdw_s4d_saphanadb_ztbp_st_bukrs_ch_view	view
data_finance.dwd_pdw_s4d_saphanadb_ztifbp_site_map_view	view
data_finance.dwd_ppr_po_sku_purchase_receipt_pay_v1_da	table
data_finance.dwd_revoke_shop_sku_beginning_inventory_v1_da	table
data_finance.dwd_ruiming_test_v1_di	table
data_finance.dwd_soberhi_shop_detail_da	table
data_finance.dwd_store_construction_project_upload_info_ha_v1_for_finance	view
data_finance.dwd_store_info_v2_di	table
data_finance.mid_finance_buggy_ledger_postpay_detail	view
data_finance.mid_finance_buggy_ledger_prepay_detail	view
data_finance.mid_finance_inventory_loss_adjustment_summery	view
data_finance.mid_finance_inventory_loss_adjustment_summery_daily	table
data_finance.mid_finance_online_call_back_order	view
data_finance.mid_finance_waste_adjustment_summery	view
data_finance.mid_finance_waste_adjustment_summery_daily	table
data_finance.mid_inventory_owner_price_bach_v1	view
data_finance.mid_opc_flag_business_information_inventory	view
data_finance.mid_order_user_supplement_detail	view
data_finance.mid_order_vendor_allocated_price_detail_v3	view
data_finance.mid_staff_ripple_workflow_task	view
data_finance.mid_staff_ripple_workflow_task_di	view
data_finance.mid_staff_ripple_workflow_task_node_di	view
data_finance.mid_staff_ripple_workflow_task_node_operation_di	view
data_finance.mid_user_info_member_slave	view
data_finance.mid_work_flow_inventory_loss_adjustment_018571	view
data_finance.mid_work_flow_inventory_loss_adjustment_018571_v2	view
data_finance.ods_upload_care_ripple_flow_code	table
data_finance.ods_upload_enterpise_billing	table
data_finance.ods_upload_finance_model_manage_statistics_cover_info	table
data_finance.ods_upload_finance_relation_manange_degree_rate	table
data_finance.ods_upload_h3_ripple_common_flow_code_mapping	table
data_finance.ods_upload_h3_user_list	table
data_finance.ods_upload_holiday_v4	table
data_finance.ods_upload_revenue_recovery	table
data_finance.ods_upload_revoke_shop_list	table
data_finance.ods_upload_soberhi_consume_non_operational_sku	table
data_finance.ods_upload_soberhi_consume_operational_sku	table
data_finance.ods_uploads_abc	table
data_finance.ods_uploads_acceleration_promotion_store_list	table
data_finance.ods_uploads_asset_classify_nc_info	table
data_finance.ods_uploads_avg_hourly_pay	table
data_finance.ods_uploads_avg_hourly_pay_history	table
data_finance.ods_uploads_avg_hourly_pay_v2	table
data_finance.ods_uploads_budget_hc_store_only	table
data_finance.ods_uploads_budget_hc_store_takeaways_v2	table
data_finance.ods_uploads_budget_waste_invenloss	table
data_finance.ods_uploads_budget_waste_invenloss_v2	table
data_finance.ods_uploads_cig_customer_exclude	table
data_finance.ods_uploads_cig_customer_exclude_v1	table
data_finance.ods_uploads_city_position_work_hours_cost	table
data_finance.ods_uploads_city_work_hours_cost	table
data_finance.ods_uploads_closing_store_list_qxk	table
data_finance.ods_uploads_closing_store_pipeline	table
data_finance.ods_uploads_closing_store_weekly_loss	table
data_finance.ods_uploads_consumable_classification	table
data_finance.ods_uploads_container_standard_ratio	table
data_finance.ods_uploads_container_standard_ratio_v2	table
data_finance.ods_uploads_cooperative_store	table
data_finance.ods_uploads_data_promotion_significant_difference_info	table
data_finance.ods_uploads_data_promotion_store_type_info	table
data_finance.ods_uploads_date_reference_v1_yearinfo	table
data_finance.ods_uploads_development_monthly_agent_commission_budget	table
data_finance.ods_uploads_development_monthly_avg_month_rent_budget	table
data_finance.ods_uploads_development_monthly_deparment_cost_budget	table
data_finance.ods_uploads_development_monthly_intention_cost_budget	table
data_finance.ods_uploads_development_monthly_open_store_budget	table
data_finance.ods_uploads_development_monthly_payment_info_budget	table
data_finance.ods_uploads_development_monthly_sign_project_budget	table
data_finance.ods_uploads_development_monthly_special_deposit_budget	table
data_finance.ods_uploads_development_monthly_transfer_fee_budget	table
data_finance.ods_uploads_dim_sku_info_sale_tax_rate_info	table
data_finance.ods_uploads_discount_store_info	view
data_finance.ods_uploads_diubanlv	table
data_finance.ods_uploads_dm_finance_integration_monthly_storepl_2017_2018	table
data_finance.ods_uploads_dm_finance_integration_weekly_storepl_2018	table
data_finance.ods_uploads_dm_promotion_2022_daily_activity_store_list_info	view
data_finance.ods_uploads_drink_consumption_sku_detail_v1	view
data_finance.ods_uploads_drink_station_order_tmp	table
data_finance.ods_uploads_drink_station_shop_meter	table
data_finance.ods_uploads_electricity_abnormal_store	view
data_finance.ods_uploads_event_loss_calculation	table
data_finance.ods_uploads_fee_type_to_finance_subject_mapping	table
data_finance.ods_uploads_finance_audit_check_store_base_info_di	table
data_finance.ods_uploads_finance_bank_fee_rate	table
data_finance.ods_uploads_finance_beetea_otherfee_monthly_data_info	table
data_finance.ods_uploads_finance_beetea_otherfee_weekly_data_info	table
data_finance.ods_uploads_finance_beetea_rent_water_electirc_monthly_data_info	table
data_finance.ods_uploads_finance_beetea_rent_water_electirc_weekly_data_info	table
data_finance.ods_uploads_finance_close_pipeline_store_info	table
data_finance.ods_uploads_finance_display_fee_rate	table
data_finance.ods_uploads_finance_display_fee_rate_v2	table
data_finance.ods_uploads_finance_engineering_invest_pay_del	table
data_finance.ods_uploads_finance_epidemic_situation_store_closeinfo_di_v1	table
data_finance.ods_uploads_finance_exclude_special_tax_skugroup	table
data_finance.ods_uploads_finance_global_daily_check_v1	table
data_finance.ods_uploads_finance_hc_ratio_info_monthly	table
data_finance.ods_uploads_finance_hc_unit_cost_info_v1	table
data_finance.ods_uploads_finance_huadong_change_sku_config	table
data_finance.ods_uploads_finance_invoice_bill_stoppayment_infos	table
data_finance.ods_uploads_finance_month_special_electric	table
data_finance.ods_uploads_finance_preopen_generalshare_fee	table
data_finance.ods_uploads_finance_promotion_type_mapping	table
data_finance.ods_uploads_finance_promotion_type_sku_mapping	table
data_finance.ods_uploads_finance_store_preopen_generalshare_fee	unknown
data_finance.ods_uploads_finance_store_sku_vendor_cost_rate	unknown
data_finance.ods_uploads_finance_store_waterelectirc_tax_info	unknown
data_finance.ods_uploads_store_bonus_fee	unknown
data_finance.ods_uploads_store_busi_resource_service_fee	unknown
data_finance.ods_uploads_store_logisticscost_rate	unknown
data_finance.ods_uploads_store_other_income_fee	unknown
data_finance.ods_uploads_store_other_rebate_fee_rate	unknown
data_finance.pdw_finance_store_consumable_sku_config	unknown
data_finance.pdw_finance_store_dispatching_cost_info	unknown
data_finance.pdw_finance_store_hc_cost_info	unknown
data_finance.pdw_finance_store_hc_cost_info_attendance	unknown
data_finance.pdw_finance_store_hc_cost_info_attendance_daily	unknown
data_finance.pdw_finance_store_hc_cost_info_attendance_monthly	unknown
data_finance.pdw_finance_store_hc_cost_info_attendance_v2	unknown
data_finance.pdw_finance_store_hc_cost_info_attendance_weekly	unknown
data_finance.pdw_finance_store_hc_cost_info_estimate	unknown
data_finance.pdw_finance_store_rent_cost_info	unknown
